YEAR,1310NAS0034,0703DER0139A,0705DUC0222,0705COM0333,0906BUT0054,0403SIL0115,0703CAZ0153,0706OWA0212,0703TUS0153A,0801SEC0782B,0906BLA0001,0906BON0024,0201CUB0115,0202CHA0122,0202FIN0153,1302WAC0117,1401ANA0251,1404OQU0383,1402WOL0037,1104BRA0347,1104GOO0672A,1104GAR0520,1104SAC0314,0602LEB0153,0602EAR0146,0602MOR0152,0402CON0067,0601CAN0392,0602EAT0163,0602MEL0039,0602PET0078,0602CRO0073,0602BRA0154,0602HAT0155,1701LFR0662,1302CAR0062A,1501LUC0982B,0303NOR1041,0302SOD0096,1310COP0108,1308ROB0902,1104SCH0374,1102BAB1109,1204MAD1051,1005GLE0441,1310QUE0057
1985,786.4665702,1087.038147,1154.683289,1086.589661,1004.950066,1099.145455,1095.181183,1073.913268,1115.120117,981.1479218,1017.183931,1014.405357,1127.634145,1554.49221,1550.231567,1094.189575,1112.059814,845.5825186,1138.137701,787.443353,791.7973785,882.8793335,962.804682,1043.456624,975.7094738,1011.613647,889.2276887,1029.522058,1102.691406,1125.364877,974.361145,1140.283819,1088.00388,1089.18856,950.5033388,1018.582825,1077.72297,1461.769941,1121.483185,904.0439895,884.2470296,835.3581537,890.4234484,1002.239193,726.8942871,848.7704144
1986,937.3244716,1253.826965,1376.140259,1398.644714,1018.14428,1144.533447,1301.769806,1412.019748,1261.21167,1090.108099,1042.043645,1049.472122,1288.894602,1648.305289,1671.703552,1250.405457,1245.550537,1215.167547,1321.357457,894.1042673,864.2538656,1063.555206,1195.561923,1150.810994,1099.742131,1142.34967,1032.621344,1252.865682,1231.153524,1279.159885,1187.331787,1368.085195,1175.496954,1177.115008,1050.33713,1167.013733,1178.340681,1359.6085,1333.655334,1022.396152,1037.594035,921.2683472,1030.625212,1143.068371,964.1010986,1005.102221
1987,816.9040266,931.4812317,1010.167206,1119.02356,875.3751221,1027.018276,988.2884674,1121.872667,963.0562948,980.4662231,896.7651925,949.0724869,1181.341187,1142.130588,1263.626831,1064.993286,1009.012207,1052.976445,1048.252867,876.0948679,771.9631958,1007.546707,1040.253424,887.5539958,844.2841675,886.5674438,975.8443623,991.8108805,953.8678996,1020.582142,889.0175781,1001.433793,923.29778,924.5827741,991.9206536,1008.386871,1006.801461,1227.178275,999.9080963,769.2454131,842.5821601,878.0769472,857.3497373,886.6157167,898.5779663,858.7850038
1988,702.051505,840.7005615,856.1176147,895.901123,824.3922255,892.1522478,887.0309906,844.9856048,827.2599894,922.8632263,839.5337015,869.5046768,1041.984461,1236.695436,1325.05127,901.143158,918.3219604,869.1310357,961.0045197,750.0027916,840.6875102,917.3010254,962.200384,777.9200846,800.5970997,810.1767578,781.0234828,927.3309102,808.8840129,1004.631375,858.2978516,912.4516808,771.8597594,772.4098469,952.5033706,909.0093079,895.8675886,1177.483215,825.7535324,802.941093,852.1656562,762.3883226,851.7416124,798.1295517,818.6915527,808.4487901
1989,926.4967651,1047.275513,981.7936707,1082.984741,792.1812609,1041.377407,1063.410156,1060.584504,1015.302368,973.3523804,850.7504975,940.2981033,1151.890127,1206.769826,1316.301208,1273.233704,976.4071045,933.643257,1074.295379,835.3567473,853.2139435,962.1225281,1041.632729,935.8428345,921.8105953,928.9336395,927.4584646,996.7912313,987.5716349,1059.84993,906.0040894,1154.428463,948.7065115,949.7687137,1255.211642,1206.170105,1209.490165,1244.614115,940.4511719,932.2425775,1003.078959,865.1341928,991.4279023,928.2209313,912.0219727,980.0725446
1990,981.7930995,1285.983704,1263.067688,1438.699646,934.3237033,1060.290702,1292.562653,1403.134608,1288.106852,1125.493079,984.2087412,1048.055176,1254.668559,1404.908003,1491.827454,1257.400452,1063.604736,998.9540554,1118.506387,1019.382054,928.6541189,1134.430786,1197.977029,1208.896606,1108.734521,1152.214081,1024.426512,1208.995239,1276.067708,1371.23013,1093.19397,1398.778011,1265.007956,1267.189949,917.0368556,1165.17572,1204.155465,1469.640093,1150.935247,1028.864674,1090.586494,1028.235649,1104.008286,1152.350633,1046.77915,1058.033473
1991,908.8425293,1022.413696,1045.026855,1106.470703,897.3580933,896.4193377,1039.008026,1072.855765,1018.842448,964.7375488,932.4612275,988.1250458,962.8945821,969.2337505,987.6559448,1117.191467,840.2210083,866.3050432,922.1368079,731.7722007,695.2221883,811.9900665,886.5390015,960.0078735,916.6560473,940.7244415,795.910487,1036.420601,1006.027913,1067.073764,907.7672729,1074.756137,986.4761827,987.8702036,1017.45194,992.4945374,1037.587455,1234.005022,1010.696042,875.4898637,946.9838528,730.324872,1015.982707,937.7737569,765.0680786,945.5453892
1992,739.949646,1056.147949,1207.834778,1210.858826,826.7181464,1077.845285,1077.847382,1200.582222,1057.299845,893.7402283,831.2256477,845.6000977,1203.730042,1179.955244,1256.623779,1174.492188,941.2774658,924.0026447,1042.216749,697.6050351,587.0607045,823.1103363,905.181169,964.0020142,961.2514567,952.0079346,999.0383852,1001.022156,1027.461934,1139.53459,897.9998169,1203.015908,978.0931406,979.2180994,917.922038,1007.263428,1058.334141,1367.230091,1233.549067,836.9432683,901.4543186,660.7800061,815.5521297,944.1943529,794.0612549,856.5413379
1993,778.4104527,932.7664185,939.1859741,1084.939148,846.1936239,839.2379935,1003.019012,1030.130045,978.9910278,927.1032227,861.0731332,892.5662918,980.6538442,1048.49252,1049.200623,890.0144043,902.4901123,893.5270832,947.8499741,713.7459942,712.2324524,802.5814514,962.0417591,944.6992188,915.7451754,928.4761963,804.9723137,940.1320862,970.8041992,1049.675957,933.5870361,1072.20408,961.590198,962.6876357,841.0710119,878.2374268,879.430385,1188.526925,888.8095144,785.7885544,841.152103,736.2558149,822.2616219,926.2338302,755.8140015,823.4394756
1994,834.8873378,994.8563538,824.8985596,1146.441895,749.1786652,888.3292934,978.7019958,1027.038012,994.4637756,987.069365,756.3653003,795.3834,1149.544933,1174.220693,1124.731934,1169.406576,967.7954102,959.8066412,1077.324923,872.3460155,790.4698588,989.240214,1010.900995,930.4932556,914.4623225,918.137207,869.9430503,982.8160223,975.3500061,1052.433629,971.5740356,1078.028628,937.1584952,937.864134,923.0348947,1018.469299,1187.262503,1049.595389,777.755366,887.3684173,910.0323738,821.2585928,929.3177787,909.6409476,958.5489197,885.7041216
