LAKE_ID,CHLOROPHYLL A_OW_T,PHOSPHORUS_OW_T,CHL_slope,PHOS_slope
0202FIN0153,0,0,0,0
0602EAR0146,0,0,0,0
0202CHA0122,0,0.000742857,0,pos
0602CRO0073,0,6.33971E-05,0,pos
0705COM0333,0,0.000295238,0,pos
1302CAR0062A,0,0.000316897,0,pos
1302WAC0117,0,0.0002,0,pos
0302SOD0096,-0.142834677,0,neg,0
0602BRA0154,-0.044646061,0,neg,0
0602MEL0039,-0.116666667,0,neg,0
0602MOR0152,-0.127279412,0,neg,0
0602PET0078,-0.011666667,0,neg,0
0703DER0139A,-0.140344828,0,neg,0
0703TUS0153A,-0.056582745,0,neg,0
0705DUC0222,-0.326864583,0,neg,0
0801SEC0782B,-0.016666667,0,neg,0
0906BON0024,-0.007316667,0,neg,0
1102BAB1109,-0.047030769,0,neg,0
1104GOO0672A,-0.06,0,neg,0
1308ROB0902,-0.255592593,0,neg,0
1402WOL0037,-0.261818182,0,neg,0
1701LFR0662,-0.19375,0,neg,0
0602EAT0163,-0.062008929,3.63636E-05,neg,pos
0703CAZ0153,-0.020769231,0.000166667,neg,pos
0906BLA0001,-0.255444444,0.000415789,neg,pos
1104SAC0314,-0.049083333,6.72619E-05,neg,pos
1104SCH0374,-0.091304348,0.000075,neg,pos
0403SIL0115,-0.261904762,-0.000376889,neg,neg
0602HAT0155,-0.050285714,-0.00005,neg,neg
0602LEB0153,-0.154545455,-0.0001,neg,neg
0906BUT0054,-0.155954248,-9.02381E-05,neg,neg
1005GLE0441,-0.021595925,-3.2E-05,neg,neg
1310QUE0057,-0.030454545,-3.33333E-05,neg,neg
1401ANA0251,-0.020171875,-0.0000675,neg,neg
1404OQU0383,-0.028246667,-6.07143E-05,neg,neg
0601CAN0392,-0.0958,,neg,
0402CON0067,0.12759375,,pos,0
1501LUC0982B,0.365217391,0,pos,0
0706OWA0212,0.043748404,,pos,
1310NAS0034,,,,
