"LAKE_ID","SAMPLE_DATE","year","month","decade","combined","Result.Value"
"0202CHA0122",2019-09-01,2019,9,2010,"CHLOROPHYLL A_OW_T",39.5
"0202CHA0122",1988-09-09,1988,9,1980,"CHLOROPHYLL A_OW_T",25.9
"0202CHA0122",2007-06-27,2007,6,2000,"CHLOROPHYLL A_OW_T",9.76
"0202CHA0122",1994-08-30,1994,8,1990,"CHLOROPHYLL A_OW_T",20.6
"0202CHA0122",2004-08-28,2004,8,2000,"CHLOROPHYLL A_OW_T",31.4
"0202CHA0122",2002-06-30,2002,6,2000,"CHLOROPHYLL A_OW_T",10.9
"0202CHA0122",1993-08-22,1993,8,1990,"CHLOROPHYLL A_OW_T",104
"0202CHA0122",2012-09-29,2012,9,2010,"CHLOROPHYLL A_OW_T",24.1
"0202CHA0122",2000-10-01,2000,10,2000,"CHLOROPHYLL A_OW_T",16.2
"0202CHA0122",1992-09-13,1992,9,1990,"CHLOROPHYLL A_OW_T",35.2
"0202CHA0122",2008-08-09,2008,8,2000,"CHLOROPHYLL A_OW_T",12.31
"0202CHA0122",1998-09-01,1998,9,1990,"CHLOROPHYLL A_OW_T",26.8
"0202CHA0122",2015-08-08,2015,8,2010,"CHLOROPHYLL A_OW_T",73.7
"0202CHA0122",2010-05-30,2010,5,2010,"CHLOROPHYLL A_OW_T",8.4
"0202CHA0122",2005-09-18,2005,9,2000,"CHLOROPHYLL A_OW_T",21.4
"0202CHA0122",1991-08-05,1991,8,1990,"CHLOROPHYLL A_OW_T",121
"0202CHA0122",2017-07-23,2017,7,2010,"CHLOROPHYLL A_OW_T",17.6
"0202CHA0122",1994-08-01,1994,8,1990,"CHLOROPHYLL A_OW_T",29
"0202CHA0122",2009-06-06,2009,6,2000,"CHLOROPHYLL A_OW_T",2.72
"0202CHA0122",2010-09-06,2010,9,2010,"CHLOROPHYLL A_OW_T",72
"0202CHA0122",2017-08-19,2017,8,2010,"CHLOROPHYLL A_OW_T",149.8
"0202CHA0122",2003-07-13,2003,7,2000,"CHLOROPHYLL A_OW_T",6.6
"0202CHA0122",2020-09-20,2020,9,2020,"CHLOROPHYLL A_OW_T",17.462
"0202CHA0122",1998-09-20,1998,9,1990,"CHLOROPHYLL A_OW_T",40.5
"0202CHA0122",2000-06-26,2000,6,2000,"CHLOROPHYLL A_OW_T",8.9
"0202CHA0122",2011-07-17,2011,7,2010,"CHLOROPHYLL A_OW_T",5.6
"0202CHA0122",2001-08-23,2001,8,2000,"CHLOROPHYLL A_OW_T",26.33
"0202CHA0122",2011-09-26,2011,9,2010,"CHLOROPHYLL A_OW_T",10.1
"0202CHA0122",2006-08-26,2006,8,2000,"CHLOROPHYLL A_OW_T",36.103
"0202CHA0122",1987-09-05,1987,9,1980,"CHLOROPHYLL A_OW_T",44
"0202CHA0122",2013-07-14,2013,7,2010,"CHLOROPHYLL A_OW_T",5.7
"0202CHA0122",1992-09-12,1992,9,1990,"CHLOROPHYLL A_OW_T",23.2
"0202CHA0122",2019-07-06,2019,7,2010,"CHLOROPHYLL A_OW_T",31.3
