"LAKE_ID","ChlA","P","Color","risiduals"
"0403SIL0115","negative","negative","no slope",-5.92e-05
"0602HAT0155","negative","negative","positive",-3.98e-05
"0602LEB0153","negative","negative","positive",-9.84e-05
"0906BUT0054","negative","negative","no slope",-6.8e-05
"1005GLE0441","negative","negative","no slope",-2.91e-05
"1310QUE0057","negative","negative","positive",-4.41e-05
"1401ANA0251","negative","negative","positive",-3.62e-05
"1404OQU0383","negative","negative","no slope",-0.000101344
"0302SOD0096","negative","no slope","no slope",NA
"0602BRA0154","negative","no slope","positive",-8.07e-05
"0602MEL0039","negative","no slope","positive",-5.45e-05
"0602MOR0152","negative","no slope","positive",-7.06e-05
"0602PET0078","negative","no slope","positive",-3.18e-05
"0703DER0139A","negative","no slope","positive",-0.000108965
"0703TUS0153A","negative","no slope","positive",-8.48e-05
"0705DUC0222","negative","no slope","no slope",-6.16e-05
"0801SEC0782B","negative","no slope","positive",NA
"0906BON0024","negative","no slope","no slope",NA
"1102BAB1109","negative","no slope","positive",-5.23e-05
"1104GOO0672A","negative","no slope","no slope",-4.58e-05
"1308ROB0902","negative","no slope","negative",-4.26e-05
"1402WOL0037","negative","no slope","no slope",-0.000105001
"1701LFR0662","negative","no slope","no slope",-0.000132367
"0602EAT0163","negative","positive","positive",-0.000107483
"0703CAZ0153","negative","positive","positive",-4.74e-05
"0906BLA0001","negative","positive","positive",-7.98e-05
"1104SAC0314","negative","positive","positive",-5.26e-05
"1104SCH0374","negative","positive","positive",-8.55e-05
"0601CAN0392","negative",NA,"negative",NA
"0202FIN0153","no slope","no slope","positive",-7.13e-05
"0602EAR0146","no slope","no slope","positive",-9.92e-05
"0202CHA0122","no slope","positive","positive",-7.39e-05
"0602CRO0073","no slope","positive","positive",NA
"0705COM0333","no slope","positive","positive",-5.29e-05
"1302CAR0062A","no slope","positive","no slope",NA
"1302WAC0117","no slope","positive","no slope",NA
"1501LUC0982B","positive","no slope","no slope",NA
"0402CON0067","positive",NA,"no slope",NA
"0706OWA0212","positive",NA,"no slope",NA
"1310NAS0034",NA,NA,NA,NA
